__hide_aliasing_typecast                                     mmint___hide_aliasing_typecast
__wpa_send_eapol                                             mmint___wpa_send_eapol
add_freq                                                     mmint_add_freq
add_multi_ap_ie                                              mmint_add_multi_ap_ie
aes_unwrap                                                   mmint_aes_unwrap
allowed_ht40_channel_pair                                    mmint_allowed_ht40_channel_pair
ap_check_sa_query_timeout                                    mmint_ap_check_sa_query_timeout
ap_client_poll_ok                                            mmint_ap_client_poll_ok
ap_copy_sta_supp_op_classes                                  mmint_ap_copy_sta_supp_op_classes
ap_eapol_tx_status                                           mmint_ap_eapol_tx_status
ap_for_each_sta                                              mmint_ap_for_each_sta
ap_free_sta                                                  mmint_ap_free_sta
ap_get_sta                                                   mmint_ap_get_sta
ap_handle_timer                                              mmint_ap_handle_timer
ap_ht2040_timeout                                            mmint_ap_ht2040_timeout
ap_list_deinit                                               mmint_ap_list_deinit
ap_list_init                                                 mmint_ap_list_init
ap_list_process_beacon                                       mmint_ap_list_process_beacon
ap_list_timer                                                mmint_ap_list_timer
ap_mgmt_rx                                                   mmint_ap_mgmt_rx
ap_mgmt_tx_cb                                                mmint_ap_mgmt_tx_cb
ap_periodic                                                  mmint_ap_periodic
ap_rx_from_unknown_sta                                       mmint_ap_rx_from_unknown_sta
ap_sta_add                                                   mmint_ap_sta_add
ap_sta_bind_vlan                                             mmint_ap_sta_bind_vlan
ap_sta_clear_disconnect_timeouts                             mmint_ap_sta_clear_disconnect_timeouts
ap_sta_deauth_cb                                             mmint_ap_sta_deauth_cb
ap_sta_deauthenticate                                        mmint_ap_sta_deauthenticate
ap_sta_delayed_1x_auth_fail_disconnect                       mmint_ap_sta_delayed_1x_auth_fail_disconnect
ap_sta_disassoc_cb                                           mmint_ap_sta_disassoc_cb
ap_sta_disassociate                                          mmint_ap_sta_disassociate
ap_sta_disconnect                                            mmint_ap_sta_disconnect
ap_sta_flags_txt                                             mmint_ap_sta_flags_txt
ap_sta_hash_add                                              mmint_ap_sta_hash_add
ap_sta_ip6addr_del                                           mmint_ap_sta_ip6addr_del
ap_sta_no_session_timeout                                    mmint_ap_sta_no_session_timeout
ap_sta_pending_delayed_1x_auth_fail_disconnect               mmint_ap_sta_pending_delayed_1x_auth_fail_disconnect
ap_sta_re_add                                                mmint_ap_sta_re_add
ap_sta_replenish_timeout                                     mmint_ap_sta_replenish_timeout
ap_sta_session_timeout                                       mmint_ap_sta_session_timeout
ap_sta_session_warning_timeout                               mmint_ap_sta_session_warning_timeout
ap_sta_set_authorized                                        mmint_ap_sta_set_authorized
ap_sta_set_authorized_event                                  mmint_ap_sta_set_authorized_event
ap_sta_set_authorized_flag                                   mmint_ap_sta_set_authorized_flag
ap_sta_set_vlan                                              mmint_ap_sta_set_vlan
ap_sta_start_sa_query                                        mmint_ap_sta_start_sa_query
ap_sta_stop_sa_query                                         mmint_ap_sta_stop_sa_query
ap_sta_wpa_get_dpp_pkhash                                    mmint_ap_sta_wpa_get_dpp_pkhash
ap_sta_wpa_get_keyid                                         mmint_ap_sta_wpa_get_keyid
ap_switch_channel                                            mmint_ap_switch_channel
ap_tx_status                                                 mmint_ap_tx_status
auth_build_token_req                                         mmint_auth_build_token_req
auth_sae_init_committed                                      mmint_auth_sae_init_committed
auth_sae_process_commit                                      mmint_auth_sae_process_commit
authsrv_deinit                                               mmint_authsrv_deinit
authsrv_init                                                 mmint_authsrv_init
autoscan_deinit                                              mmint_autoscan_deinit
autoscan_exponential_ops                                     mmint_autoscan_exponential_ops
autoscan_init                                                mmint_autoscan_init
autoscan_notify_scan                                         mmint_autoscan_notify_scan
bgscan_deinit                                                mmint_bgscan_deinit
bgscan_init                                                  mmint_bgscan_init
bgscan_notify_beacon_loss                                    mmint_bgscan_notify_beacon_loss
bgscan_notify_scan                                           mmint_bgscan_notify_scan
bgscan_notify_signal_change                                  mmint_bgscan_notify_signal_change
bgscan_simple_ops                                            mmint_bgscan_simple_ops
bin_clear_free                                               mmint_bin_clear_free
bitfield_alloc                                               mmint_bitfield_alloc
bitfield_clear                                               mmint_bitfield_clear
bitfield_free                                                mmint_bitfield_free
bitfield_get_first_zero                                      mmint_bitfield_get_first_zero
bitfield_is_set                                              mmint_bitfield_is_set
bitfield_set                                                 mmint_bitfield_set
bss_load_update_deinit                                       mmint_bss_load_update_deinit
bss_load_update_init                                         mmint_bss_load_update_init
buf_shift_right                                              mmint_buf_shift_right
calculate_update_time                                        mmint_calculate_update_time
chan_bw_allowed                                              mmint_chan_bw_allowed
chan_in_current_hw_info                                      mmint_chan_in_current_hw_info
chan_pri_allowed                                             mmint_chan_pri_allowed
channel_width_to_int                                         mmint_channel_width_to_int
channel_width_to_string                                      mmint_channel_width_to_string
check_40mhz_2g4                                              mmint_check_40mhz_2g4
check_40mhz_5g                                               mmint_check_40mhz_5g
check_comeback_token                                         mmint_check_comeback_token
check_ext_capab                                              mmint_check_ext_capab
check_multi_ap_ie                                            mmint_check_multi_ap_ie
chwidth_freq2_to_ch_width                                    mmint_chwidth_freq2_to_ch_width
copy_sta_ht_capab                                            mmint_copy_sta_ht_capab
cstr_token                                                   mmint_cstr_token
debug_level_str                                              mmint_debug_level_str
dh_derive_shared                                             mmint_dh_derive_shared
dh_groups_get                                                mmint_dh_groups_get
dh_init                                                      mmint_dh_init
disabled_freq                                                mmint_disabled_freq
disallowed_bssid                                             mmint_disallowed_bssid
disallowed_ssid                                              mmint_disallowed_ssid
dragonfly_generate_scalar                                    mmint_dragonfly_generate_scalar
dragonfly_get_random_qr_qnr                                  mmint_dragonfly_get_random_qr_qnr
dragonfly_is_quadratic_residue_blind                         mmint_dragonfly_is_quadratic_residue_blind
dragonfly_min_pwe_loop_iter                                  mmint_dragonfly_min_pwe_loop_iter
dragonfly_sqrt                                               mmint_dragonfly_sqrt
dragonfly_suitable_group                                     mmint_dragonfly_suitable_group
driver_flag2_to_string                                       mmint_driver_flag2_to_string
driver_flag_to_string                                        mmint_driver_flag_to_string
dump_freq_data                                               mmint_dump_freq_data
dup_binstr                                                   mmint_dup_binstr
eap_allowed_method                                           mmint_eap_allowed_method
eap_clear_config_otp                                         mmint_eap_clear_config_otp
eap_erp_update_identity                                      mmint_eap_erp_update_identity
eap_get_config                                               mmint_eap_get_config
eap_get_config_blob                                          mmint_eap_get_config_blob
eap_get_config_fragment_size                                 mmint_eap_get_config_fragment_size
eap_get_config_identity                                      mmint_eap_get_config_identity
eap_get_config_new_password                                  mmint_eap_get_config_new_password
eap_get_config_otp                                           mmint_eap_get_config_otp
eap_get_config_password                                      mmint_eap_get_config_password
eap_get_config_password2                                     mmint_eap_get_config_password2
eap_get_config_phase1                                        mmint_eap_get_config_phase1
eap_get_config_phase2                                        mmint_eap_get_config_phase2
eap_get_eapKeyData                                           mmint_eap_get_eapKeyData
eap_get_eapRespData                                          mmint_eap_get_eapRespData
eap_get_eapSessionId                                         mmint_eap_get_eapSessionId
eap_get_id                                                   mmint_eap_get_id
eap_get_identity                                             mmint_eap_get_identity
eap_get_imsi                                                 mmint_eap_get_imsi
eap_get_interface                                            mmint_eap_get_interface
eap_get_method                                               mmint_eap_get_method
eap_get_name                                                 mmint_eap_get_name
eap_get_names                                                mmint_eap_get_names
eap_get_names_as_string_array                                mmint_eap_get_names_as_string_array
eap_get_phase2_type                                          mmint_eap_get_phase2_type
eap_get_phase2_types                                         mmint_eap_get_phase2_types
eap_get_serial_num                                           mmint_eap_get_serial_num
eap_get_type                                                 mmint_eap_get_type
eap_hdr_len_valid                                            mmint_eap_hdr_len_valid
eap_hdr_validate                                             mmint_eap_hdr_validate
eap_invalidate_cached_session                                mmint_eap_invalidate_cached_session
eap_is_wps_pbc_enrollee                                      mmint_eap_is_wps_pbc_enrollee
eap_is_wps_pin_enrollee                                      mmint_eap_is_wps_pin_enrollee
eap_key_available                                            mmint_eap_key_available
eap_log_msg                                                  mmint_eap_log_msg
eap_msg_alloc                                                mmint_eap_msg_alloc
eap_notify_lower_layer_success                               mmint_eap_notify_lower_layer_success
eap_notify_pending                                           mmint_eap_notify_pending
eap_notify_success                                           mmint_eap_notify_success
eap_peer_erp_free_keys                                       mmint_eap_peer_erp_free_keys
eap_peer_erp_init                                            mmint_eap_peer_erp_init
eap_peer_finish                                              mmint_eap_peer_finish
eap_peer_get_eap_method                                      mmint_eap_peer_get_eap_method
eap_peer_get_methods                                         mmint_eap_peer_get_methods
eap_peer_get_type                                            mmint_eap_peer_get_type
eap_peer_method_alloc                                        mmint_eap_peer_method_alloc
eap_peer_method_register                                     mmint_eap_peer_method_register
eap_peer_sm_deinit                                           mmint_eap_peer_sm_deinit
eap_peer_sm_init                                             mmint_eap_peer_sm_init
eap_peer_sm_step                                             mmint_eap_peer_sm_step
eap_peer_unregister_methods                                  mmint_eap_peer_unregister_methods
eap_peer_was_failure_expected                                mmint_eap_peer_was_failure_expected
eap_register_methods                                         mmint_eap_register_methods
eap_register_scard_ctx                                       mmint_eap_register_scard_ctx
eap_server_clear_identity                                    mmint_eap_server_clear_identity
eap_server_config_free                                       mmint_eap_server_config_free
eap_server_get_eap_method                                    mmint_eap_server_get_eap_method
eap_server_get_name                                          mmint_eap_server_get_name
eap_server_get_type                                          mmint_eap_server_get_type
eap_server_method_alloc                                      mmint_eap_server_method_alloc
eap_server_method_register                                   mmint_eap_server_method_register
eap_server_sm_deinit                                         mmint_eap_server_sm_deinit
eap_server_sm_init                                           mmint_eap_server_sm_init
eap_server_sm_step                                           mmint_eap_server_sm_step
eap_server_unregister_methods                                mmint_eap_server_unregister_methods
eap_set_anon_id                                              mmint_eap_set_anon_id
eap_set_config_blob                                          mmint_eap_set_config_blob
eap_set_external_sim                                         mmint_eap_set_external_sim
eap_set_fast_reauth                                          mmint_eap_set_fast_reauth
eap_set_force_disabled                                       mmint_eap_set_force_disabled
eap_set_workaround                                           mmint_eap_set_workaround
eap_sm_abort                                                 mmint_eap_sm_abort
eap_sm_buildIdentity                                         mmint_eap_sm_buildIdentity
eap_sm_get_method_name                                       mmint_eap_sm_get_method_name
eap_sm_method_pending                                        mmint_eap_sm_method_pending
eap_sm_notify_cached                                         mmint_eap_sm_notify_cached
eap_sm_notify_ctrl_attached                                  mmint_eap_sm_notify_ctrl_attached
eap_sm_pending_cb                                            mmint_eap_sm_pending_cb
eap_sm_process_nak                                           mmint_eap_sm_process_nak
eap_sm_request_identity                                      mmint_eap_sm_request_identity
eap_sm_request_new_password                                  mmint_eap_sm_request_new_password
eap_sm_request_otp                                           mmint_eap_sm_request_otp
eap_sm_request_passphrase                                    mmint_eap_sm_request_passphrase
eap_sm_request_password                                      mmint_eap_sm_request_password
eap_sm_request_pin                                           mmint_eap_sm_request_pin
eap_sm_request_sim                                           mmint_eap_sm_request_sim
eap_sm_set_ext_pw_ctx                                        mmint_eap_sm_set_ext_pw_ctx
eap_update_len                                               mmint_eap_update_len
eap_user_free                                                mmint_eap_user_free
eap_user_get                                                 mmint_eap_user_get
eapol_auth_alloc                                             mmint_eapol_auth_alloc
eapol_auth_deinit                                            mmint_eapol_auth_deinit
eapol_auth_eap_pending_cb                                    mmint_eapol_auth_eap_pending_cb
eapol_auth_free                                              mmint_eapol_auth_free
eapol_auth_init                                              mmint_eapol_auth_init
eapol_auth_reauthenticate                                    mmint_eapol_auth_reauthenticate
eapol_auth_set_conf                                          mmint_eapol_auth_set_conf
eapol_auth_step                                              mmint_eapol_auth_step
eapol_sm_build_erp_reauth_start                              mmint_eapol_sm_build_erp_reauth_start
eapol_sm_configure                                           mmint_eapol_sm_configure
eapol_sm_deinit                                              mmint_eapol_sm_deinit
eapol_sm_erp_flush                                           mmint_eapol_sm_erp_flush
eapol_sm_failed                                              mmint_eapol_sm_failed
eapol_sm_get_erp_info                                        mmint_eapol_sm_get_erp_info
eapol_sm_get_key                                             mmint_eapol_sm_get_key
eapol_sm_get_method_name                                     mmint_eapol_sm_get_method_name
eapol_sm_get_session_id                                      mmint_eapol_sm_get_session_id
eapol_sm_init                                                mmint_eapol_sm_init
eapol_sm_invalidate_cached_session                           mmint_eapol_sm_invalidate_cached_session
eapol_sm_notify_cached                                       mmint_eapol_sm_notify_cached
eapol_sm_notify_config                                       mmint_eapol_sm_notify_config
eapol_sm_notify_ctrl_attached                                mmint_eapol_sm_notify_ctrl_attached
eapol_sm_notify_ctrl_response                                mmint_eapol_sm_notify_ctrl_response
eapol_sm_notify_eap_fail                                     mmint_eapol_sm_notify_eap_fail
eapol_sm_notify_eap_success                                  mmint_eapol_sm_notify_eap_success
eapol_sm_notify_logoff                                       mmint_eapol_sm_notify_logoff
eapol_sm_notify_lower_layer_success                          mmint_eapol_sm_notify_lower_layer_success
eapol_sm_notify_pmkid_attempt                                mmint_eapol_sm_notify_pmkid_attempt
eapol_sm_notify_portControl                                  mmint_eapol_sm_notify_portControl
eapol_sm_notify_portEnabled                                  mmint_eapol_sm_notify_portEnabled
