email_date	email_subject	rank	company	evaluation	notes
5/11/2025	Daily Market Movers: Global Majors & Industry (11 May 2025)	1	Liquidia Corporation	26%	11 May: Company released Q1'26 results, showing net product sales of $130m driven by sales of Yutrepia.
5/11/2025	Daily Market Movers: Global Majors & Industry (11 May 2025)	2	ASP Isotopes	16%	
5/11/2025	Daily Market Movers: Global Majors & Industry (11 May 2025)	3	Lexicon Pharmaceuticals	15%	
5/11/2025	Daily Market Movers: Global Majors & Industry (11 May 2025)	4	Nanobiotix	14%	
5/11/2025	Daily Market Movers: Global Majors & Industry (11 May 2025)	5	Valneva	14%	
5/11/2025	Daily Market Movers: Global Majors & Industry (11 May 2025)	6	BillionToOne	14%	
5/11/2025	Daily Market Movers: Global Majors & Industry (11 May 2025)	7	Nautilus Biotechnology	12%	
5/11/2025	Daily Market Movers: Global Majors & Industry (11 May 2025)	8	Kyverna Therapeutics	11%	
5/11/2025	Daily Market Movers: Global Majors & Industry (11 May 2025)	9	MoonLake Immunotherapeutics	11%	11 May: Company announces a positive outcome from a pre-BLA meeting with the FDA for sonelokimab in treatment for hidradenitis suppurativa.
5/11/2025	Daily Market Movers: Global Majors & Industry (11 May 2025)	10	Alvotech	10%	
3/23/2026	Weekly Asia Market Movers: Global Majors & Industry (23 Mar 2026)	1	Medigen Vaccines Biologics	50%	
3/23/2026	Daily Market Movers: Global Majors & Industry (23 Mar 2026)	1	Galecto	27%	23 Mar: Shares raise after company appointed an experienced biotechnology executive as CEO and announced board changes, boosting investor confidence in its strategy and execution.
3/23/2026	Daily Market Movers: Global Majors & Industry (23 Mar 2026)	2	Allogene Therapeutics	18%	
3/23/2026	Weekly Asia Market Movers: Global Majors & Industry (23 Mar 2026)	2	TiumBio	47%	
3/23/2026	Weekly Asia Market Movers: Global Majors & Industry (23 Mar 2026)	3	OPTUS Pharmaceutical	37%	
3/23/2026	Daily Market Movers: Global Majors & Industry (23 Mar 2026)	3	ImmunityBio	11%	23 Mar: Shares raise after company announced regulatory approval of its bladder cancer therapy ANKTIVA in Macau, expanding its global commercial footprint.
3/23/2026	Weekly Asia Market Movers: Global Majors & Industry (23 Mar 2026)	4	Sam Chun Dang Pharm	29%	
