company,mentions,avg_return,avg_eval
Sellas Life Sciences Group,7,5.5245519379708545,19.571428571428573
Twist Bioscience,6,29.10507674226397,11.5
Corcept Therapeutics,6,27.83005685072068,14.833333333333334
Abivax,5,8.058699856437759,26.2
Indaptus Therapeutics,5,-4.209886517754572,40.6
Replimune,5,33.41479194702522,48.6
Revolution Medicines,4,7.814465959184943,28.5
MBX Biosciences,4,23.016537770924096,19.5
Spyre Therapeutics,4,2.4959224306173016,21.0
Unitika,4,-16.473186649224655,33.5
AtaiBeckley,4,3.2618660904651917,27.25
Edgewise Therapeutics,4,-4.124005780117076,15.75
Holy Stone Enterprise,4,48.58788619304519,39.75
Hamamatsu Photonics,3,-2.5136528881268543,21.333333333333332
ICON,3,15.52830720920965,14.666666666666666
Glaukos,3,8.213544139685942,17.0
GH Research,3,7.358718241344728,11.333333333333334
Idorsia,3,0.684520128945227,14.0
Bausch Health Companies,3,-3.151956879915096,33.333333333333336
Alvotech,3,17.820504251949412,18.666666666666668
Tango Therapeutics,3,-0.5052941112746918,22.333333333333332
Rezolute,3,10.293753295439952,14.0
Organon,3,25.84585472267278,31.333333333333332
Liquidia Corporation,3,4.995519803546139,13.666666666666666
Moderna,3,-10.340674860438968,12.333333333333334
Iovance Biotherapeutics,3,35.776524826155125,16.0
Legend Biotech,3,0.8869704725987878,24.0
Semnur Pharmaceuticals,3,-85.31755143993162,50.333333333333336
