email_date,email_subject,rank,company,eval_pct,notes,ticker,hold_months,sell_target_date,status,buy_date,buy_price,sell_date,sell_price,return_pct,end_value_usd,holding_days,error
2025-05-11,Daily Market Movers: Global Majors & Industry (11 May 2025),1,Liquidia Corporation,26.0,"11 May: Company released Q1'26 results, showing net product sales of $130m driven by sales of Yutrepia.",LQDA,1,2025-06-11,ok,2025-05-12 00:00:00-04:00,15.75,2025-06-11 00:00:00-04:00,14.130000114440918,-10.285713559105284,0.8971428644089472,30.0,
2025-05-11,Daily Market Movers: Global Majors & Industry (11 May 2025),2,ASP Isotopes,16.0,,ASPI,1,2025-06-11,ok,2025-05-12 00:00:00-04:00,6.670000076293945,2025-06-11 00:00:00-04:00,8.800000190734863,31.934034333990752,1.3193403433399076,30.0,
2025-05-11,Daily Market Movers: Global Majors & Industry (11 May 2025),3,Lexicon Pharmaceuticals,15.0,,LXRX,1,2025-06-11,ok,2025-05-12 00:00:00-04:00,0.6700000166893005,2025-06-11 00:00:00-04:00,0.699999988079071,4.477607558580467,1.0447760755858047,30.0,
2025-05-11,Daily Market Movers: Global Majors & Industry (11 May 2025),4,Nanobiotix,14.0,,NANO.PA,1,2025-06-11,ok,2025-05-12 00:00:00+02:00,3.109999895095825,2025-06-11 00:00:00+02:00,4.474999904632568,43.890677028292465,1.4389067702829248,30.0,
2025-05-11,Daily Market Movers: Global Majors & Industry (11 May 2025),5,Valneva,14.0,,VLA.PA,1,2025-06-11,ok,2025-05-12 00:00:00+02:00,2.9159998893737793,2025-06-11 00:00:00+02:00,2.7279999256134033,-6.447186930475144,0.9355281306952485,30.0,
2025-05-11,Daily Market Movers: Global Majors & Industry (11 May 2025),7,Nautilus Biotechnology,12.0,,NAUT,1,2025-06-11,ok,2025-05-12 00:00:00-04:00,0.7229999899864197,2025-06-11 00:00:00-04:00,0.7250000238418579,0.2766298593552954,1.002766298593553,30.0,
2025-05-11,Daily Market Movers: Global Majors & Industry (11 May 2025),8,Kyverna Therapeutics,11.0,,KYTX,1,2025-06-11,ok,2025-05-12 00:00:00-04:00,2.2100000381469727,2025-06-11 00:00:00-04:00,3.309999942779541,49.77375048169183,1.4977375048169184,30.0,
2025-05-11,Daily Market Movers: Global Majors & Industry (11 May 2025),9,MoonLake Immunotherapeutics,11.0,11 May: Company announces a positive outcome from a pre-BLA meeting with the FDA for sonelokimab in treatment for hidradenitis suppurativa.,MLTX,1,2025-06-11,ok,2025-05-12 00:00:00-04:00,40.18000030517578,2025-06-11 00:00:00-04:00,44.16999816894531,9.930308196776098,1.099303081967761,30.0,
2025-05-11,Daily Market Movers: Global Majors & Industry (11 May 2025),10,Alvotech,10.0,,ALVO,1,2025-06-11,ok,2025-05-12 00:00:00-04:00,10.25,2025-06-11 00:00:00-04:00,10.109999656677246,-1.3658570080268673,0.9863414299197313,30.0,
2026-03-23,Weekly Asia Market Movers: Global Majors & Industry (23 Mar 2026),1,Medigen Vaccines Biologics,50.0,,6547.TWO,1,2026-04-23,ok,2026-03-23 00:00:00+08:00,54.5,2026-04-23 00:00:00+08:00,46.79999923706055,-14.128441766861382,0.8587155823313861,31.0,
2026-03-23,Daily Market Movers: Global Majors & Industry (23 Mar 2026),1,Galecto,27.0,"23 Mar: Shares raise after company appointed an experienced biotechnology executive as CEO and announced board changes, boosting investor confidence in its strategy and execution.",GLTO,1,2026-04-23,no_data,,,,,,,,
2026-03-23,Daily Market Movers: Global Majors & Industry (23 Mar 2026),2,Allogene Therapeutics,18.0,,ALLO,1,2026-04-23,ok,2026-03-23 00:00:00-04:00,2.440000057220459,2026-04-23 00:00:00-04:00,2.3499999046325684,-3.688530757266246,0.9631146924273375,31.0,
2026-03-23,Weekly Asia Market Movers: Global Majors & Industry (23 Mar 2026),2,TiumBio,47.0,,321550.KQ,1,2026-04-23,ok,2026-03-23 00:00:00+09:00,10900.0,2026-04-23 00:00:00+09:00,10560.0,-3.1192660550458715,0.9688073394495413,31.0,
2026-03-23,Weekly Asia Market Movers: Global Majors & Industry (23 Mar 2026),3,OPTUS Pharmaceutical,37.0,,131030.KQ,1,2026-04-23,ok,2026-03-23 00:00:00+09:00,14280.0,2026-04-23 00:00:00+09:00,9400.0,-34.173669467787114,0.6582633053221288,31.0,
2026-03-23,Daily Market Movers: Global Majors & Industry (23 Mar 2026),3,ImmunityBio,11.0,"23 Mar: Shares raise after company announced regulatory approval of its bladder cancer therapy ANKTIVA in Macau, expanding its global commercial footprint.",IBRX,1,2026-04-23,ok,2026-03-23 00:00:00-04:00,9.399999618530273,2026-04-23 00:00:00-04:00,8.1899995803833,-12.87234135373466,0.8712765864626534,31.0,
2026-03-23,Weekly Asia Market Movers: Global Majors & Industry (23 Mar 2026),4,Sam Chun Dang Pharm,29.0,,300720.KQ,1,2026-04-23,ok,2026-03-23 00:00:00+09:00,16910.0,2026-04-23 00:00:00+09:00,16910.0,0.0,1.0,31.0,
2026-03-23,Daily Market Movers: Global Majors & Industry (23 Mar 2026),4,Oruka Therapeutics,7.0,,ORKA,1,2026-04-23,ok,2026-03-23 00:00:00-04:00,41.560001373291016,2026-04-23 00:00:00-04:00,67.73999786376953,62.99325222665506,1.6299325222665506,31.0,
2026-03-23,Daily Market Movers: Global Majors & Industry (23 Mar 2026),5,Sarepta Therapeutics,6.0,,SRPT,1,2026-04-23,ok,2026-03-23 00:00:00-04:00,17.709999084472656,2026-04-23 00:00:00-04:00,20.420000076293945,15.302095606528281,1.1530209560652829,31.0,
2026-03-23,Weekly Asia Market Movers: Global Majors & Industry (23 Mar 2026),5,BioDlink International Company,21.0,,688657.SS,1,2026-04-23,ok,2026-03-23 00:00:00+08:00,28.92983055114746,2026-04-23 00:00:00+08:00,34.529808044433594,19.357104368051743,1.1935710436805174,31.0,
2026-03-23,Daily Market Movers: Global Majors & Industry (23 Mar 2026),6,Cogent Biosciences,6.0,,COGT,1,2026-04-23,ok,2026-03-23 00:00:00-04:00,35.40999984741211,2026-04-23 00:00:00-04:00,36.13999938964844,2.0615632459249476,1.0206156324592495,31.0,
2026-03-23,Weekly Asia Market Movers: Global Majors & Industry (23 Mar 2026),6,Telix Pharmaceuticals,17.0,,TLX.AX,1,2026-04-23,ok,2026-03-23 00:00:00+11:00,12.800000190734863,2026-04-23 00:00:00+10:00,14.430000305175781,12.734375704312686,1.1273437570431268,31.0,
2026-03-23,Daily Market Movers: Global Majors & Industry (23 Mar 2026),7,Insmed,6.0,"23 Mar: Shares raise after company reported positive Phase 3b data for ARIKAYCE, with the study meeting primary and key secondary endpoints and supporting potential expansion of the therapy���s use.",INSM,1,2026-04-23,ok,2026-03-23 00:00:00-04:00,143.97999572753906,2026-04-23 00:00:00-04:00,143.8300018310547,-0.10417690021898346,0.9989582309978101,31.0,
2026-03-23,Weekly Asia Market Movers: Global Majors & Industry (23 Mar 2026),7,Sunshine Guojian Pharmaceutical (Shanghai),12.0,,688336.SS,1,2026-04-23,ok,2026-03-23 00:00:00+08:00,44.68912887573242,2026-04-23 00:00:00+08:00,54.06866455078125,20.98840570629741,1.209884057062974,31.0,
2026-03-23,Weekly Asia Market Movers: Global Majors & Industry (23 Mar 2026),8,Regencell Bioscience,11.0,,RGC,1,2026-04-23,ok,2026-03-23 00:00:00-04:00,25.21500015258789,2026-04-23 00:00:00-04:00,28.309999465942383,12.274437020127653,1.1227443702012765,31.0,
2026-03-23,Daily Market Movers: Global Majors & Industry (23 Mar 2026),8,Glaukos,6.0,"23 Mar: Shares raise after company announced a specialty pharmacy partnership to support the commercial rollout of its newly launched keratoconus therapy Epioxa, improving distribution and access.",GKOS,1,2026-04-23,ok,2026-03-23 00:00:00-04:00,106.83999633789062,2026-04-23 00:00:00-04:00,120.87000274658203,13.131792296510673,1.1313179229651067,31.0,
2026-03-23,Weekly Asia Market Movers: Global Majors & Industry (23 Mar 2026),9,Holy Stone Enterprise,11.0,,3026.TW,1,2026-04-23,ok,2026-03-23 00:00:00+08:00,119.22837829589844,2026-04-23 00:00:00+08:00,222.0628662109375,86.2500097584374,1.862500097584374,31.0,
2026-03-23,Daily Market Movers: Global Majors & Industry (23 Mar 2026),9,Twist Bioscience,6.0,,TWST,1,2026-04-23,ok,2026-03-23 00:00:00-04:00,44.5,2026-04-23 00:00:00-04:00,58.849998474121094,32.24718758229459,1.322471875822946,31.0,
2026-03-23,Daily Market Movers: Global Majors & Industry (23 Mar 2026),10,STAAR Surgical,6.0,,STAA,1,2026-04-23,ok,2026-03-23 00:00:00-04:00,18.510000228881836,2026-04-23 00:00:00-04:00,24.84000015258789,34.19773012119753,1.3419773012119753,31.0,
2026-03-23,Weekly Asia Market Movers: Global Majors & Industry (23 Mar 2026),10,Peptron,9.0,,087010.KQ,1,2026-04-23,ok,2026-03-23 00:00:00+09:00,346000.0,2026-04-23 00:00:00+09:00,253000.0,-26.878612716763005,0.7312138728323699,31.0,
2026-03-24,Daily Market Movers: Global Majors & Industry (24 Mar 2026),1,Centessa Pharmaceuticals,8.0,,CNTA,1,2026-04-24,no_data,,,,,,,,
2026-03-24,Daily Market Movers: Global Majors & Industry (24 Mar 2026),2,Sumitomo Pharma,7.0,24 Mar: Shares rise a day after company announces Dsp-3077 has received FDA orphan drug designation for the treatment of retinitis pigmentosa.,4506.T,1,2026-04-24,ok,2026-03-24 00:00:00+09:00,1899.5,2026-04-24 00:00:00+09:00,2061.0,8.502237430902868,1.0850223743090286,31.0,
2026-03-24,Daily Market Movers: Global Majors & Industry (24 Mar 2026),3,Celanese,7.0,,CE,1,2026-04-24,ok,2026-03-24 00:00:00-04:00,60.73087692260742,2026-04-24 00:00:00-04:00,64.92610168457031,6.907894261611087,1.069078942616111,31.0,
2026-03-24,Daily Market Movers: Global Majors & Industry (24 Mar 2026),4,Twist Bioscience,7.0,,TWST,1,2026-04-24,ok,2026-03-24 00:00:00-04:00,47.4900016784668,2026-04-24 00:00:00-04:00,60.939998626708984,28.321744520680376,1.2832174452068037,31.0,
2026-03-24,Daily Market Movers: Global Majors & Industry (24 Mar 2026),5,Astellas Pharma,5.0,,4503.T,1,2026-04-24,ok,2026-03-24 00:00:00+09:00,2448.353271484375,2026-04-24 00:00:00+09:00,2468.0,0.8024466380913111,1.008024466380913,31.0,
2026-03-24,Daily Market Movers: Global Majors & Industry (24 Mar 2026),6,Wacker-Chemie,5.0,,WCH.DE,1,2026-04-24,ok,2026-03-24 00:00:00+01:00,76.5999984741211,2026-04-24 00:00:00+02:00,95.5,24.673631726329827,1.2467363172632984,30.0,
2026-03-24,Daily Market Movers: Global Majors & Industry (24 Mar 2026),7,Nippon Shinyaku,5.0,,4516.T,1,2026-04-24,ok,2026-03-24 00:00:00+09:00,5101.37939453125,2026-04-24 00:00:00+09:00,4911.0,-3.731919933956282,0.9626808006604372,31.0,
2026-03-24,Daily Market Movers: Global Majors & Industry (24 Mar 2026),8,Mitsui & Co,5.0,,8031.T,1,2026-04-24,ok,2026-03-24 00:00:00+09:00,6090.60546875,2026-04-24 00:00:00+09:00,5784.0,-5.0340720692408585,0.9496592793075914,31.0,
2026-03-24,Daily Market Movers: Global Majors & Industry (24 Mar 2026),9,Mitsubishi Chemical,4.0,,4188.T,1,2026-04-24,ok,2026-03-24 00:00:00+09:00,888.8452758789062,2026-04-24 00:00:00+09:00,911.4000244140625,2.5375337133736475,1.0253753371337364,31.0,
2026-03-24,Daily Market Movers: Global Majors & Industry (24 Mar 2026),10,Hamamatsu Photonics,4.0,,6965.T,1,2026-04-24,ok,2026-03-24 00:00:00+09:00,1833.371337890625,2026-04-24 00:00:00+09:00,1921.5,4.806918286983309,1.0480691828698332,31.0,
2026-03-25,Daily Market Movers: Global Majors & Industry (25 Mar 2026),1,Sarepta Therapeutics,35.0,25 Mar: Company announces initial clinical data from its siRNA pipeline showing strong target knockdown in muscular dystrophy programs.,SRPT,1,2026-04-25,ok,2026-03-25 00:00:00-04:00,23.770000457763672,2026-04-27 00:00:00-04:00,20.979999542236328,-11.737487849378999,0.88262512150621,33.0,
2026-03-25,Daily Market Movers: Global Majors & Industry (25 Mar 2026),2,Corcept Therapeutics,20.0,25 Mar: The FDA approves company���s Relacorilant in combination therapy for platinum-resistant ovarian cancer.,CORT,1,2026-04-25,ok,2026-03-25 00:00:00-04:00,40.470001220703125,2026-04-27 00:00:00-04:00,46.220001220703125,14.208054921081862,1.1420805492108186,33.0,
2026-03-25,Daily Market Movers: Global Majors & Industry (25 Mar 2026),3,Summit Therapeutics,15.0,,SMMT,1,2026-04-25,ok,2026-03-25 00:00:00-04:00,17.940000534057617,2026-04-27 00:00:00-04:00,22.1200008392334,23.299889524754438,1.2329988952475444,33.0,
2026-03-25,Daily Market Movers: Global Majors & Industry (25 Mar 2026),4,Enliven Therapeutics,14.0,,ELVN,1,2026-04-25,ok,2026-03-25 00:00:00-04:00,35.529998779296875,2026-04-27 00:00:00-04:00,44.900001525878906,26.372088568834616,1.2637208856883462,33.0,
2026-03-25,Daily Market Movers: Global Majors & Industry (25 Mar 2026),5,Oruka Therapeutics,10.0,,ORKA,1,2026-04-25,ok,2026-03-25 00:00:00-04:00,43.810001373291016,2026-04-27 00:00:00-04:00,76.38999938964844,74.36657611296032,1.7436657611296031,33.0,
2026-03-25,Daily Market Movers: Global Majors & Industry (25 Mar 2026),6,Mesoblast,9.0,,MESO,1,2026-04-25,ok,2026-03-25 00:00:00-04:00,15.649999618530273,2026-04-27 00:00:00-04:00,15.329999923706055,-2.0447265343401373,0.9795527346565986,33.0,
2026-03-25,Daily Market Movers: Global Majors & Industry (25 Mar 2026),7,Erasca,9.0,,ERAS,1,2026-04-25,ok,2026-03-25 00:00:00-04:00,15.989999771118164,2026-04-27 00:00:00-04:00,19.149999618530273,19.762350798277303,1.197623507982773,33.0,
2026-03-25,Daily Market Movers: Global Majors & Industry (25 Mar 2026),8,ImmunityBio,9.0,,IBRX,1,2026-04-25,ok,2026-03-25 00:00:00-04:00,8.069999694824219,2026-04-27 00:00:00-04:00,7.289999961853027,-9.665424565894998,0.90334575434105,33.0,
2026-03-25,Daily Market Movers: Global Majors & Industry (25 Mar 2026),9,BWX Technologies,8.0,,BWXT,1,2026-04-25,ok,2026-03-25 00:00:00-04:00,221.4838409423828,2026-04-27 00:00:00-04:00,221.4240264892578,-0.027006237958714215,0.9997299376204128,33.0,
2026-03-25,Daily Market Movers: Global Majors & Industry (25 Mar 2026),10,Spyre Therapeutics,8.0,,SYRE,1,2026-04-25,ok,2026-03-25 00:00:00-04:00,45.68000030517578,2026-04-27 00:00:00-04:00,71.9000015258789,57.39930176342898,1.5739930176342898,33.0,
2026-03-26,Market Movers: Global Majors & Industry (26 Mar 2026),1,Kodiak Sciences,75.0,26 Mar: Company announces positive topline results in Phase III study of Zenkuda in treating patients with diabetic retinopathy.,KOD,1,2026-04-26,ok,2026-03-26 00:00:00-04:00,39.7599983215332,2026-04-27 00:00:00-04:00,44.11000061035156,10.940650081623588,1.109406500816236,32.0,
2026-03-26,Market Movers: Global Majors & Industry (26 Mar 2026),2,Precigen,25.0,26 Mar: Company announces positive Q4' and FY25 results.,PGEN,1,2026-04-26,ok,2026-03-26 00:00:00-04:00,3.890000104904175,2026-04-27 00:00:00-04:00,3.9600000381469727,1.7994840965312058,1.0179948409653121,32.0,
2026-03-26,Market Movers: Global Majors & Industry (26 Mar 2026),3,Crescent Biopharma,15.0,,CBIO,1,2026-04-26,ok,2026-03-26 00:00:00-04:00,13.5,2026-04-27 00:00:00-04:00,25.149999618530273,86.29629347059462,1.8629629347059462,32.0,
2026-03-26,Market Movers: Global Majors & Industry (26 Mar 2026),4,Curative Biotechnology,14.0,,CURV,1,2026-04-26,ok,2026-03-26 00:00:00-04:00,1.7200000286102295,2026-04-27 00:00:00-04:00,1.7799999713897705,3.4883687082273678,1.0348836870822737,32.0,
2026-03-26,Market Movers: Global Majors & Industry (26 Mar 2026),5,Madrigal Pharmaceuticals,12.0,,MDGL,1,2026-04-26,ok,2026-03-26 00:00:00-04:00,518.760009765625,2026-04-27 00:00:00-04:00,520.0900268554688,0.2563838894298444,1.0025638388942983,32.0,
2026-03-26,Market Movers: Global Majors & Industry (26 Mar 2026),6,Enliven Therapeutics,11.0,,ELVN,1,2026-04-26,ok,2026-03-26 00:00:00-04:00,39.290000915527344,2026-04-27 00:00:00-04:00,44.900001525878906,14.278443572482837,1.1427844357248285,32.0,
2026-03-26,Market Movers: Global Majors & Industry (26 Mar 2026),7,KalVista Pharmaceuticals,11.0,26 Mar: Company announces positive Q4' and FY25 results.,KALV,1,2026-04-26,no_data,,,,,,,,
2026-03-26,Market Movers: Global Majors & Industry (26 Mar 2026),8,ARS Pharmaceuticals,8.0,,ARS,1,2026-04-26,no_data,,,,,,,,
2026-03-26,Market Movers: Global Majors & Industry (26 Mar 2026),9,Zura Bio,7.0,,ZURA,1,2026-04-26,ok,2026-03-26 00:00:00-04:00,6.039999961853027,2026-04-27 00:00:00-04:00,5.409999847412109,-10.430465536752067,0.8956953446324794,32.0,
2026-03-26,Market Movers: Global Majors & Industry (26 Mar 2026),10,Solid Biosciences,7.0,,SLDB,1,2026-04-26,ok,2026-03-26 00:00:00-04:00,7.730000019073486,2026-04-27 00:00:00-04:00,7.5,-2.9754206792492868,0.9702457932075071,32.0,
2026-03-30,Daily Market Movers: Global Majors & Industry (30 Mar 2026),1,United Therapeutics,12.0,30 Mar: Shares rise sharply after company reports positive Phase,UTHR,1,2026-04-30,ok,2026-03-30 00:00:00-04:00,588.3599853515625,2026-04-30 00:00:00-04:00,571.3499755859375,-2.8910888213210173,0.9710891117867898,31.0,
2026-03-30,Weekly Asia Market Movers: Global Majors & Industry (30 Mar 2026),1,Helixmith,58.0,,084990.KQ,1,2026-04-30,ok,2026-03-30 00:00:00+09:00,8650.0,2026-04-30 00:00:00+09:00,8620.0,-0.3468208092485549,0.9965317919075144,31.0,
2026-03-30,Weekly Asia Market Movers: Global Majors & Industry (30 Mar 2026),2,Bukwang Pharmaceutical,50.0,,003000.KS,1,2026-04-30,ok,2026-03-30 00:00:00+09:00,9070.0,2026-04-30 00:00:00+09:00,6320.0,-30.319735391400222,0.6968026460859977,31.0,
2026-03-30,Weekly Asia Market Movers: Global Majors & Industry (30 Mar 2026),3,CStone Pharmaceuticals,41.0,,2616.HK,1,2026-04-30,ok,2026-03-30 00:00:00+08:00,8.75,2026-04-30 00:00:00+08:00,9.300000190734863,6.285716465541295,1.062857164655413,31.0,
2026-03-30,Daily Market Movers: Global Majors & Industry (30 Mar 2026),4,Insmed,6.0,"30 Mar: Shares rise after company receives an analyst upgrade and price target increase, supported by strong early launch data and positive read-through from IPF trial results.",INSM,1,2026-04-30,ok,2026-03-30 00:00:00-04:00,153.32000732421875,2026-04-30 00:00:00-04:00,136.3300018310547,-11.081401435910502,0.889185985640895,31.0,
2026-03-30,Weekly Asia Market Movers: Global Majors & Industry (30 Mar 2026),4,ToolGen,37.0,,199800.KQ,1,2026-04-30,ok,2026-03-30 00:00:00+09:00,63500.0,2026-04-30 00:00:00+09:00,83500.0,31.496062992125985,1.3149606299212597,31.0,
2026-03-30,Daily Market Movers: Global Majors & Industry (30 Mar 2026),5,GeneDx (USA),4.0,,GDYN,1,2026-04-30,ok,2026-03-30 00:00:00-04:00,5.679999828338623,2026-04-30 00:00:00-04:00,5.690000057220459,0.17606037295886615,1.0017606037295887,31.0,
2026-03-30,Weekly Asia Market Movers: Global Majors & Industry (30 Mar 2026),5,OPTUS Pharmaceutical,35.0,,131030.KQ,1,2026-04-30,ok,2026-03-30 00:00:00+09:00,19260.0,2026-04-30 00:00:00+09:00,9090.0,-52.80373831775701,0.4719626168224299,31.0,
2026-03-30,Daily Market Movers: Global Majors & Industry (30 Mar 2026),6,Vericel,4.0,,VCEL,1,2026-04-30,ok,2026-03-30 00:00:00-04:00,30.549999237060547,2026-04-30 00:00:00-04:00,34.72999954223633,13.68248906567885,1.1368248906567886,31.0,
2026-03-30,Weekly Asia Market Movers: Global Majors & Industry (30 Mar 2026),6,STCube,35.0,,066790.KQ,1,2026-04-30,ok,2026-03-30 00:00:00+09:00,1493.0,2026-04-30 00:00:00+09:00,1493.0,0.0,1.0,31.0,
2026-03-30,Weekly Asia Market Movers: Global Majors & Industry (30 Mar 2026),7,Transcenta Holding,30.0,,6628.HK,1,2026-04-30,ok,2026-03-30 00:00:00+08:00,2.7200000286102295,2026-04-30 00:00:00+08:00,2.2300000190734863,-18.014706043481414,0.8198529395651859,31.0,
2026-03-30,Daily Market Movers: Global Majors & Industry (30 Mar 2026),7,WAVE Life Sciences,4.0,,WVE,1,2026-04-30,ok,2026-03-30 00:00:00-04:00,6.619999885559082,2026-04-30 00:00:00-04:00,7.059999942779541,6.646526659015183,1.0664652665901517,31.0,
2026-03-30,Weekly Asia Market Movers: Global Majors & Industry (30 Mar 2026),8,Ascletis Pharma,28.0,,1672.HK,1,2026-04-30,ok,2026-03-30 00:00:00+08:00,16.829999923706055,2026-04-30 00:00:00+08:00,16.469999313354492,-2.139041069420804,0.978609589305792,31.0,
2026-03-30,Daily Market Movers: Global Majors & Industry (30 Mar 2026),8,Adaptive Biotechnologies,4.0,,ADPT,1,2026-04-30,ok,2026-03-30 00:00:00-04:00,12.850000381469727,2026-04-30 00:00:00-04:00,14.100000381469727,9.727626170366156,1.0972762617036615,31.0,
2026-03-30,Weekly Asia Market Movers: Global Majors & Industry (30 Mar 2026),9,Sam Chun Dang Pharm,26.0,,300720.KQ,1,2026-04-30,ok,2026-03-30 00:00:00+09:00,16550.0,2026-04-30 00:00:00+09:00,17450.0,5.438066465256798,1.054380664652568,31.0,
2026-03-30,Daily Market Movers: Global Majors & Industry (30 Mar 2026),9,Vaxcyte,3.0,,PCVX,1,2026-04-30,ok,2026-03-30 00:00:00-04:00,54.959999084472656,2026-04-30 00:00:00-04:00,57.2400016784668,4.148476404611675,1.0414847640461167,31.0,
2026-03-30,Weekly Asia Market Movers: Global Majors & Industry (30 Mar 2026),10,Clover Biopharmaceuticals,25.0,,2197.HK,1,2026-04-30,ok,2026-03-30 00:00:00+08:00,2.759999990463257,2026-04-30 00:00:00+08:00,2.9600000381469727,7.246378564303781,1.072463785643038,31.0,
2026-03-30,Daily Market Movers: Global Majors & Industry (30 Mar 2026),10,Wacker-Chemie,3.0,,WCH.DE,1,2026-04-30,ok,2026-03-30 00:00:00+02:00,83.05000305175781,2026-04-30 00:00:00+02:00,93.6500015258789,12.763393238546952,1.1276339323854696,31.0,
2026-03-31,Daily Market Movers: Global Majors & Industry (31 Mar 2026),1,Apellis Pharmaceuticals,135.0,31 Mar: Biogen to acquire company for $41 per share.,APLS,1,2026-04-30,no_data,,,,,,,,
2026-03-31,Daily Market Movers: Global Majors & Industry (31 Mar 2026),2,Centessa Pharmaceuticals,44.0,31 Mar: Eli Lilly to acquire company for $38 per share.,CNTA,1,2026-04-30,no_data,,,,,,,,
2026-03-31,Daily Market Movers: Global Majors & Industry (31 Mar 2026),3,Precigen,20.0,,PGEN,1,2026-04-30,ok,2026-03-31 00:00:00-04:00,3.869999885559082,2026-04-30 00:00:00-04:00,4.159999847412109,7.493539287563372,1.0749353928756338,30.0,
2026-03-31,Daily Market Movers: Global Majors & Industry (31 Mar 2026),4,Alkermes,17.0,,ALKS,1,2026-04-30,ok,2026-03-31 00:00:00-04:00,35.36000061035156,2026-04-30 00:00:00-04:00,33.709999084472656,-4.66629382748334,0.9533370617251666,30.0,
2026-03-31,Daily Market Movers: Global Majors & Industry (31 Mar 2026),5,Praxis Precision Medicines,17.0,,PRAX,1,2026-04-30,ok,2026-03-31 00:00:00-04:00,322.19000244140625,2026-04-30 00:00:00-04:00,318.8299865722656,-1.042867824476236,0.9895713217552377,30.0,
2026-03-31,Daily Market Movers: Global Majors & Industry (31 Mar 2026),6,Mineralys Therapeutics,15.0,,MLYS,1,2026-04-30,ok,2026-03-31 00:00:00-04:00,27.09000015258789,2026-04-30 00:00:00-04:00,26.649999618530273,-1.6242175399751122,0.9837578246002489,30.0,
2026-03-31,Daily Market Movers: Global Majors & Industry (31 Mar 2026),7,ImmunityBio,15.0,"31 Mar: Company to receive $75m in non-dilutive funding under existing Revenue Interest Purchase Agreement (RIPA) with Oberland Capital, bringing total committed capital to $375m.",IBRX,1,2026-04-30,ok,2026-03-31 00:00:00-04:00,7.670000076293945,2026-04-30 00:00:00-04:00,7.099999904632568,-7.431553663514361,0.9256844633648564,30.0,
